A00;Colera
A84;Encefalite virale da zecche
A85;Altre encefaliti virali non classificate altrove
A86;Encefalite virale non specificata
A87;Meningite virale
A88;Altre infezioni virali del sistema nervoso centrale non classificate altrove
A89;Infezione virale del sistema nervoso centrale non specificata
A90;Febbre dengue [dengue classico]
A91;Febbre dengue emorragica
A92;Altre febbri virali trasmesse da zanzare
A93;Altre febbri virali trasmesse da artropodi non classificate altrove
A94;Febbre virale trasmessa da artropodi non specificata
A95;Febbre gialla
A96;Febbre emorragica da arenavirus
A98;Altre febbri emorragiche virali non classificate altrove
A99;Febbre virale emorragica non specificata
B00;Infezioni da Herpes virus [herpes simplex]
B01;Varicella
B02;Zoster [herpes zoster]
B03;Vaiolo
B04;Vaiolo delle scimmie
B05;Morbillo
B06;Rosolia
B07;Verruche virali
B08;Altre infezioni virali caratterizzate da lesioni della cute e delle mucose non classificate altrove
B09;Infezione virale non specificata caratterizzata da lesioni della cute e delle mucose
B15;Epatite acuta A
B16;Epatite acuta B
B17;Altre epatiti virali acute
B18;Epatite virale cronica
B19;Epatite virale non specificata
B20;Malattia da virus dell’immunodeficienza umana [HIV] che dà luogo a malattie infettive o parasitarie
B21;Malattia da virus dell’immunodeficienza umana [HIV] che dà luogo a neoplasie maligne
B22;Malattia da virus dell’immunodeficienza umana [HIV] che dà luogo ad altre malattie specificate
B23;Malattia da virus dell’immunodeficienza umana [HIV] che dà luogo ad altre condizioni morbose
B24;Malattia da virus dell’immunodeficienza umana [HIV] non specificata
B25;Malattia da cytomegalovirus
B26;Parotite epidemica
B27;Mononucleosi infettiva
B30;Congiuntivite virale
B33;Altre malattie virali non classificate altrove
B34;Infezione virale di sede non specificata
B35;Dermatofitosi
B36;Altre micosi superficiali
B37;Candidosi
B38;Coccidioidomicosi
B39;Istoplasmosi
B40;Blastomicosi
B41;Paracoccidioidomicosi
B42;Sporotricosi
B43;Cromomicosi e ascesso feomicotico
B44;Aspergillosi
B45;Criptococcosi
B46;Zigomicosi
B47;Micetoma
B48;Altre micosi non classificate altrove
B49;Micosi non specificata
B50;Malaria da Plasmodium falciparum
B51;Malaria da Plasmodium vivax
B52;Malaria da Plasmodium malariae
B53;Altra forma di malaria confermata ad esame parassitologico
B54;Malaria non specificata
B55;Leishmaniosi
B56;Tripanosomiasi africana
B57;Malattia di Chagas
B58;Toxoplasmosi
B59;Pneumocistosi
B60;Altre malattie protozoarie non classificate altrove
B64;Malattia protozoaria non specificata
B65;Schistosomiasi [bilharziosi]
B66;Altre infezioni da trematodi
B67;Echinococcosi
B68;Teniasi
B69;Cisticercosi
B70;Difillobotriasi e sparganosi
B71;Altre infezioni da cestodi
B72;Dracunculosi
B73;Oncocercosi
B74;Filariosi
B75;Trichinellosi
B76;Malattie da vermi uncinati
B77;Ascaridiasi
B78;Stronglioidiasi
B79;Trichiuriasi
B80;Enterobiasi
B81;Altre elmintiasi intestinali non classificate altrove
B82;Parassitismo intestinale non specificato
B83;Altre elmintiasi
B85;Pediculosi e ftiriasi
B86;Scabbia
B87;Miasi
B88;Altre infestazioni
B89;Malattia parassitaria non specificata
B90;Sequele di tubercolosi
B91;Sequele di poliomielite
B92;Sequele di lebbra
B94;Sequele di altre e non specificate malattie infettive e parassitarie
B95;Streptococco e stafflococco come causa di malattie classificate in altri settori
B96;Altri agenti batterici come causa di malattie classificate in altri settori
B97;Virus come causa di malattie classificate in altri settori
B99;Altre e non specificate malattie infettive
C00;Tumore maligno del labbro
C01;Tumore maligno della base della lingua
C02;Tumore maligno di altre e non specificate parti della lingua
C03;Tumore maligno della gengiva
C04;Tumore maligno del pavimento orale
C05;Tumore maligno del palato
C06;Tumore maligno di altre e non specificate parti della bocca
C07;Tumore maligno della parotide
C08;Tumore maligno di altre e non specificate ghiandole salivari maggiori
C09;Tumore maligno della tonsilla
C10;Tumore maligno dell'orofaringe
C11;Tumore maligno della rinofaringe
C12;Tumore maligno del seno piriforme
C13;Tumore maligno dell'Ipofaringe
C14;Tumore maligno di altre e mal definite sedi del labbro della cavità orale e della faringe
C15;Tumore maligno dell'esofago
C16;Tumore maligno dello stomaco
C17;Tumore maligno dell'intestino tenue
C18;Tumore maligno del colon
C19;Tumore maligno della giunzione retto-sigmoidea
C20;Tumore maligno del retto
C21;Tumore maligno dell'ano e del canale anale
C22;Tumore maligno del fegato e dei dotti biliari intraepatici
C23;Tumore maligno della colecisti
C24;Tumore maligno di altre e non specificate parti delle vie biliari
C25;Tumore maligno del pancreas
C26;Tumore maligno di altri e mal definiti organi dell'apparato digerente
C30;Tumore maligno di cavità nasale e dell'orecchio medio
C31;Tumore maligno dei seni paranasali
C32;Tumore maligno della laringe
C33;Tumore maligno della trachea
C34;Tumore maligno dei bronchi e del polmone
C37;Tumore maligno del timo
C38;Tumore maligno del cuore del mediastino e della pleura
C39;Tumore maligno di altre e mal definite sedi dell'apparato respiratorio e degli organi intratoracici
C40;Tumore maligno di osso e cartilagine articolare degli arti
C41;Tumore maligno di osso e cartilagine articolare di altre e non specificate sedi
C43;Melanoma maligno della cute
C44;Altri tumori maligni della cute
C45;Mesotelioma
C46;Sarcoma di Kaposi
C47;Tumore maligno dei nervi periferici e del sistema nervoso autonomo
C48;Tumore maligno del retroperitoneo e peritoneo
C49;Tumore maligno del tessuto connettivo e di altri tessuti molli
C50;Tumore maligno della mammella
C51;Tumore maligno della vulva
C52;Tumore maligno della vagina
C53;Tumore maligno della cervice uterina
C54;Tumore maligno del corpo dell'utero
C55;Tumore maligno dell'utero parte non specificata
C56;Tumore maligno dell'ovaio
C57;Tumore maligno di altro e non specificato organo genitale femminile
C58;Tumore maligno della placenta
C60;Tumore maligno del pene
C61;Tumore maligno della prostata
C62;Tumore maligno del testicolo
C63;Tumore maligno di altro e non specificato organo genitale maschile
C64;Tumore maligno del rene ad eccezione della pelvi renale
C65;Tumore maligno della pelvi renale
C66;Tumore maligno dell'uretere
C67;Tumore maligno della vescica
C68;Tumore maligno di altro e non specificato organo dell'apparato urinario
C69;Tumore maligno dell'occhio e degli annessi oculari
C70;Tumore maligno delle meningi
C71;Tumore maligno dell'encefalo
C72;Tumore maligno del midollo spinale dei nervi cranici e di altre parti del sistema nervoso centrale
C73;Tumore maligno della tiroide
C74;Tumore maligno della ghiandola surrenale
C75;Tumore maligno di altre ghiandole endocrine e di strutture correlate
C76;Tumore maligno di altra e mal definita sede
C77;Tumore maligno secondario e non specificato dei linfonodi
C78;Tumore maligno secondario dell’apparato respiratorio e del digerente
C79;Tumore maligno secondario di altre sedi
C80;Tumore maligno di sede non specificata
C81;Morbo di Hodgkin
C82;Linfoma non Hodgkin follicolare [nodulare]
C83;Linfoma non Hodgkin diffuso
C84;Linfoma a cellule T periferiche e cutanee
C85;Altri e non specificati tipi di linfomi non Hodgkin
C88;Malattie maligne immunoproliferative
C90;Mieloma multiplo e tumori plasmacellulari maligni
C91;Leucemia linfoide
C92;Leucemia mieloide
C93;Leucemia monocitica
C94;Altre leucemie di tipo cellulare specificato
C95;Leucemia di tipo cellulare non specificato
C96;Altro e non specificato tumore maligno del tessuto linfoide ematopoietico e tessuti correlati
C97;Tumori maligni di sedi indipendenti (primitive) multiple
D00;Carcinoma in situ della cavità orale dell’esofago e dello stomaco
D01;Carcinoma in situ di altri e non specificati organi dell’apparato digerente
D02;Carcinoma in situ dell’orecchio medio e dell’apparato respiratorio
D03;Melanoma in situ
D04;Carcinoma in situ della cute
D05;Carcinoma in situ della mammella
D06;Carcinoma in situ della cervice uterina
D07;Carcinoma in situ di altri e non specificati organi dell’apparato genitale
D09;Carcinoma in situ di altre e non specificate sedi
D10;Tumori benigni della bocca e della faringe
D11;Tumori benigni delle ghiandole salivari maggiori
D12;Tumori benigni del colon retto ano e canale anale
D13;Tumori benigni di altre e mal definite parti dell’apparato digerente
D14;Tumori benigni dell’orecchio medio e dell’apparato respiratorio
D15;Tumori benigni di altri e non specificati organi intratoracici
D16;Tumori benigni delle ossa e della cartilagine articolare
D17;Tumore lipomatoso benigno
D18;Emangiona e infrangiona di qualsiasi sede
D19;Tumore benigno del tessuto mesoteliale
D20;Tumori benigni di tessuto molle del peritoneo e del retroperitoneo
D21;Altri tumori benigni del tessuto connettivo e di altri tessuti molli
D22;Nevi melanocltici
D23;Altri tumori benigni della cute
D24;Tumore benigno della mammella
D25;Leiomionna dell'utero
D26;Altri tumori benigni dell'utero
D27;Tumore benigno dell'ovaio
D28;Tumori benigni di altri e non specificati organi genitali femminili
D29;Tumori benigni degli organi genitali maschili
D30;Tumori benigni degli organi urinari
D31;Tumori benigni dell'occhio e degli annessi oculari
D32;Tumori benigni delle meningi
D33;Tumori benigni dell'encefalo e di altre parti del sistema nervoso centrale
D34;Tumore benigno della tiroide
D35;Tumori benigni di altre e non specificate ghiandole endocrine
D36;Tumori benigni di altre e non specificate sedi
D37;Tumori di comportamento incerto o sconosciuto della cavità orale e degli organi dell’apparato digerente
D38;Tumori di comportamento incerto o sconosciuto dell’orecchio medio degli organi dell’apparato respiratorio e degli organi intratoracici
D39;Tumori di comportamento incerto o sconosciuto degli organi genitali femminili
D40;Tumori di comportamento incerto o sconosciuto degli organi genitali maschili
D41;Tumori di comportamento incerto o sconosciuto degli organi dell’apparato urinario
D42;Tumori di comportamento incerto o sconosciuto delle meningi
D43;Tumori di comportamento incerto o sconosciuto dell’encefalo e del sistema nervoso centrale
D44;Tumori di comportamento incerto o sconosciuto delle ghiandole endocrine
D45;Policitemia vera
D46;Sindromi mielodisplasiche
D47;Altri tumori di comportamento incerto o sconosciuto del tessuto linfatico ematopoietico e tessuti correlati
D48;Tumori di comportamento incerto o sconosciuto di altre e non specificate sedi
D50;Anemia da deficit di ferro
D51;Anemia da deficit di vitamina B12
D52;Anemia da deficit di folati
D53;Altre anemie nutrizionali
D55;Anemia dovuta a difetti enzimatici
D56;Talassemia
D57;Malattie drepanocitiche [ad emazie falciformi]
D58;Altre anemie emolitiche ereditarie
D59;Anemia emolitica acquisita
D60;Aplasia pura acquisita della serie rossa [eritroblastopenia]
D61;Altre anemie aplastiche
D62;Anemia acuta post-emorragica
D63;Anemia in malattie croniche classificate altrove
D64;Altre anemie
D65;Coagulazione intravascolare disseminata [sindrome da defibrinazione]
D66;Deficit ereditario del fattore VIII
D67;Deficit ereditario del fattore IX
D68;Altri difetti della coagulazione
D69;Porpora ed altre condizioni emorragiche
D70;Agranulocitosi
D71;Disturbi funzionali dei neutrofili polimorfonucleati
D72;Altri disturbi dei globuli bianchi
D73;Malattie della milza
D74;Metaemoglobinemia
D75;Altre malattie del sangue e degli organi ematopoietici
D76;Alcune malattie del tessuto inforeticolare e del sistema reticoloisticotiario
D77;Altri disturbi del sangue e degli organi ematopoietici in malattie classificate altrove
D80;Immunodeficienza dovuta principalmente a deficit di produzione di anticorpi
D81;Immunodeficienze combinate
D82;Immunodeficienza associata ad altri difetti maggiori
D83;Immunodeficienza comune variabile
D84;Altre immunodeficienze
D86;Sarcoidosi
D89;Altri disturbi del sistema immunitario non classificati altrove
E00;Sindrome da carenza di iodio congenita
E01;Disturbi tiroidei da carenza di iodio e condizioni morbose correlate
E02;Ipotiroidismo subclinico da carenza di iodio
E03;Altro ipotiroidismo
E04;Altro tipo di gozzo non tossico
E05;Tireotossicosi [ipertiroidismo]
E06;Tiroidite
E07;Altri disturbi della tiroide
E10;Diabete mellito insulino-dipendente
E11;Diabete mellito non insulino-dipendente
E12;Diabete mellito correlato a malnutrizione
E13;Altro tipo di diabete mellito specificato
E14;Diabete mellito non specificato
E15;Coma ipoglicemico non diabetico
E16;Altri disturbi della secrezione endocrina pancreatica
E20;Ipoparatiroidismo
E21;Iperparatiroidismo ed altri disturbi delle paratiroidi
E22;Iperfunzione ipofisaria
E23;Ipofunzione ed altri disturbi dell'ipofisi
E24;Sindrome di Cushing
E25;Sindromi adrenogenitali
E26;Iperaldosteronismo
E27;Altri disturbi della ghiandola surrenale
E28;Disfunzione ovarica
E29;Disfunzione testicolare
E30;Disturbi della pubertà non classificati altrove
E31;Disfunzione plurighiandolare
E32;Malattie del timo
E34;Altri disturbi endocrini
E35;Disturbi di ghiandole endocrine in malattie classificate altrove
E40;Kwashiorkor
E41;Marasma da denutrizione
E42;Kwashiorkor marantico
E43;Grave malnutrizione proteico-energetica non specificata
E44;Malnutrizione proteico-energetica di grado moderato e lieve
E45;Ritardo dello sviluppo conseguente a malnutrizione proteico-energetica
E46;Malnutrizione proteico-energetica non specificata
E50;Deficit di vitamina A
E51;Deficit di itamina
E52;Deficit di niacina [pellagra]
E53;Deficit di altre vitamine del complesso B
E54;Deficit di acido assorbico
E55;Deficit di vitamina D
E56;Altri deficit vitaminici
E58;Deficit alimentare di calcio
E59;Deficit alimentare di selenio
E60;Deficit alimentare di zinco
E61;Deficit di altri elementi nutritivi
E63;Altri deficit nutrizionali
E64;Sequele di malnutrizione e di altri deficit nutrizionali
E65;Adiposità localizzata
E66;Obesità
E67;Altre forme di iperalimentazione
E68;Sequele dell'iperalimentazione
E70;Disturbi del metabolismo degli aminoacidi aromatici
E71;Disturbi del metabolismo degli aminoacidi a catena ramificata e degli acidi grassi
E72;Altri disturbi del metabolismo degli aminoacidi
E73;Intolleranza al lattosio
E74;Altri disturbi del metabolismo dei carboidrati
E75;Disturbi del metabolismo degli sfingolipidi ed altre tesaurismosi lipidiche
E76;Disturbi del metabolismo del glicosamminoglicano
E77;Disturbi del metabolismo delle glicoproteine
E78;Disturbi del metabolismo delle lipoproteine ed altre dislipidemie
E79;Disturbi del metabolismo purinico e pirimidinico
E80;Disturbi del metabolismo porfirinico e bilirubinico
E83;Disturbi del metabolismo dei minerali
E84;Fibrosi cistica
E85;Amiloidosi
E86;Ipovolemia
E87;Altri disturbi dei liquidi degli elettroliti e dell'equilibrio acido-base
E88;Altri disturbi metabolici
E89;Disturbi endocrini e metabolici iatrogeni non classificati altrove
E90;Disturbi nutrizionali e metabolici in malattie classificate altrove
F00;Demenza nella malattia di Alzheimer (G30.-†)
F01;Demenza vascolare
F02;Demenza in altre malattie classificate altrove
F03;Demenza non specificata
F04;Sindrome amnesica organica non indotta da alcol o da altre sostanze psicoattive
F05;Delirium non indotto da alcol o da altre sostanze psicoattive
F06;Altri disturbi psichici dovuti a danni o disfunzioni cerebrali e a malattie somatiche
F07;Disturbi di personalità e del comportamento dovuti a malattia lesione e disfunzione cerebrali
F09;Disturbi psichici organici o sintomatici non specificati
F10;Disturbi psichici e comportamentali dovuti all’uso di alcol
F11;Disturbi psichici e comportamentali dovuti all’uso di oppioidi
F12;Disturbi psichici e comportamentali dovuti all’uso di cannabinoidi
F13;Disturbi psichici e comportamentali dovuti all’uso di sedativi o ipnotici
F14;Disturbi psichici e comportamentali dovuti all’uso di cocaina
F15;Disturbi psichici e comportamentali dovuti all’uso di altri stimolanti compresa la caffeina
F16;Disturbi psichici e comportamentali dovuti all’uso di allucinogeni
F17;Disturbi psichici e comportamentali dovuti all’uso di tabacco
F18;Disturbi psichici e comportamentali dovuti all’uso di solventi volatili
F19;Disturbi psichici e comportamentali dovuti all’uso di sostanze psicoattive multiple e all’uso di altre sostanze psicoattive
F20;Schizofrenia
F21;Disturbo schizotipico
F22;Disturbi deliranti persistenti
F23;Disturbi psicotici acuti e transitori
F24;Disturbo delirante indotto
F25;Disturbi schizoaffettivi
F28;Altri disturbi psicotici non organici
F29;Psicosi non organica non specificata
F30;Episodio maniacale
F31;Disturbo affettivo bipolare
F32;Episodio depressivo
F33;Disturbo depressivo ricorrente
F34;Disturbi persistenti dell’umore [affettivi]
F38;Disturbi dell’umore [affettivi] di altro tipo
F39;Disturbo dell’umore [affettivo] non specificato
F40;Disturbi ansioso-fobici
F41;Altri disturbi d’ansia
F42;Disturbo ossessivo-compulsivo
F43;Reazione a grave stress e disturbi dell’adattamento
F44;Disturbi dissociativi [di conversione]
F45;Disturbi somatoformi
F48;Altri disturbi nevrotici
F50;Disturbi dell’alimentazione
F51;Disturbi del sonno non organici
F52;Disfunzione sessuale non causata da disturbo o malattia organica
F53;Disturbi mentali o comportamentali associati con il puerperio non classificati altrove
F54;Fattori psicologici e comportamentali associati a disturbi o malattie classificati altrove
F55;Abuso di sostanze che non provocano dipendenza
F59;Sindromi comportamentali non specificate associate a disturbi fisiologici e a fattori somatici
F60;Disturbi di personalità specifici
F61;Altri disturbi di personalità e forme miste
F62;Modificazioni durature della personalità non attribuibili a danno o malattia cerebrale
F63;Disturbi delle abitudini e degli impulsi
F64;Disturbi dell’identità sessuale
F65;Disturbo della preferenza sessuale
F66;Problemi psicologici e comportamentali associati con lo sviluppo e l’orientamento sessuale
F68;Altri disturbi della personalità e del comportamento nell’adulto
F69;Disturbo non specificato della personalità e del comportamento nell’adulto
F70;Ritardo mentale lieve
F71;Ritardo mentale di media gravità
F72;Ritardo mentale grave
F73;Ritardo mentale profondo
F78;Ritardo mentale di altro tipo
F79;Ritardo mentale non specificato
F80;Disturbi evolutivi specifici dell’eloquio e del linguaggio
F81;Disturbi evolutivi specifici delle abilità scolastiche
F82;Disturbo evolutivo specifico della funzione motoria
F83;Disturbo evolutivo specifico misto
F84;Disturbi evolutivi globali
F88;Disturbo dello sviluppo psicologico di altro tipo
F89;Disturbo dello sviluppo psicologico non specificato
F90;Disturbi ipercinetici
F91;Disturbi della condotta
F92;Disturbi misti della condotta e della sfera emozionale
F93;Disturbi della sfera emozionale con esordio caratteristico dell’infanzia
F94;Disturbo del funzionamento sociale con esordio specifico nell’infanzia e nell’adolescenza
F95;Disturbi a tipo tic
F98;Altri disturbi comportamentali e della sfera emozionale con esordio abituale nell’infanzia e nell’adolescenza
F99;Disturbo mentale S.A.I.
G00;Meningite batterica non classificata altrove
G01;Meningite in malattie batteriche classificate altrove
G02;Meningite in altre malattie infettive e parassitarie classificate altrove
G03;Meningite da altre e non precisate cause
G04;Encefalite mielite ed encefalomielite
G05;Encefalite mielite ed encefalomielite in malattie classificate altrove
G06;Ascessi e granulomi intracranici ed intrarachidiani
G07;Ascessi e granulomi intracranici ed intrarachidiani in malattie classificate altrove
G08;Flebite e tromboflebite intracraniche ed intrarachidiane
G09;Sequele di malattie infiammatorie del sistema nervoso centrale
G10;Malattia di Huntington
G11;Atassia ereditaria
G12;Atrofia muscolare spinale e sindromi correlate
G13;Atrofie sistemiche interessanti principalmente il sistema nervoso centrale in malattie classificate altrove
G20;Morbo di Parkinson
G21;Parkinsonismo secondario
G22;Parkinsonismo in malattie classificate altrove
G23;Altre malattie degenerative dei gangli della base
G24;Distonia
G25;Altri disturbi extrapiramidali e del movimento
G26;Disturbi extrapiramidali e del movimento in malattie classificate altrove
G30;Malattia di Alzheimer
G31;Altre malattie degenerative del sistema nervoso non classificate altrove
G32;Altre malattie degenerative del sistema nervoso in malattie classificate altrove
G35;Sclerosi multipla
G36;Altra demielinizzazione disseminata acuta
G37;Altre malattie demielinizzanti del sistema nervoso centrale
G40;Epilessia
G41;Stato di male epilettico
G43;Emicrania
G44;Altre sindromi cefalalgiche
G45;Attacchi cerebrovascolari ischemici transitori e sindromi correlate
G46;Sindromi vascolari cerebrali in malattie cerebrovascolari (I60-I67)
G47;Disturbi del sonno
G50;Disturbi del nervo trigemino
G51;Disturbi del nervo facciale
G52;Disturbi di altri nervi cranici
G53;Disturbi di nervi cranici in malattie classificate altrove
G54;Disturbi dei plessi e delle radici nervose
G55;Compressioni delle radici e dei plessi nervosi in malattie classificate altrove
G56;Mononeuropatie dell'arto superiore
G57;Mononeuropatie dell'arto inferiore
G58;Altre mononeuropatie
G59;Mononeuropatia in malattie classificate altrove
G60;Neuropatie idiopatiche ed ereditarie
G61;Polineuropatia infiammatoria
G62;Altre polineuropatie
G63;Polineuropatia in malattie classificate altrove
G64;Altri disturbi del sistema nervoso periferico
G70;Miastenia grave ed altri disturbi neuromuscolari
G71;Disturbi primitivi dei muscoli
G72;Altre miopatie
G73;Disturbi della giunzione neuromuscolare e dei muscoli in malattie classificate altrove
G80;Paralisi cerebrale infantile
G81;Emiplegia
G82;Paraplegia e tetraplegia
G83;Altre sindromi paralitiche
G90;Disturbi del sistema nervoso autonomo
G91;Idrocefalo
G92;Encefalopatia tossica
G93;Altri disturbi dell’encefalo
G94;Altri disturbi dell’encefalo in malattie classificate altrove
G95;Altre malattie del midollo spinale
G96;Altri disturbi del sistema nervoso centrale
G97;Disturbi iatrogeni del sistema nervoso non classificati altrove
G98;Altri disturbi del sistema nervoso non classificati altrove
G99;Altri disturbi del sistema nervoso in malattie classificate altrove
H00;Orzaiolo e calazio
H01;Altra infiammazione della palpebra
H02;Altri disturbi della palpebra
H03;Disturbi delle palpebre in malattie classificate altrove
H04;Disturbi dell'apparato lacrimale
H05;Disturbi dell'orbita
H06;Disturbi dell'apparato lacrimale e dell'orbita in malattie classificate altrove
H10;Congiuntivite
H11;Altri disturbi della congiuntiva
H13;Disturbi della congiuntiva in malattie classificate altrove
H15;Disturbi della sclera
H16;Cheraltte
H17;Cicatrici ed opacità corneali
H18;Altri disturbi della cornea
H19;Disturbi della sclera e della cornea in malattie classificate altrove
H20;Iridociclite
H21;Altri disturbi dell’iride e del corpo ciliare
H22;Disturbi dell’iride e del corpo ciliare in malattie classificate altrove
H25;Cataratta senile
H26;Altra cataratta
H27;Altri disturbi del cristallino
H28;Cataratta ed altri disturbi del cristallino in malattie classificate altrove
H30;Inflammazione corioretinica
H31;Altri disturbi della coroide
H32;Disturbi corioretinici in malattie classificate altrove
H33;Distacchi e rotture di retina
H34;Occlusioni vascolari retiniche
H35;Altri disturbi retinici
H36;Disturbi retinici in malattie classificate altrove
H40;Glaucoma
H42;Glaucoma in malattie classificate altrove
H43;Disturbi del corpo vitreo
H44;Disturbi del globo oculare
H45;Disturbi del corpo vitreo e del globo oculare in malattie classificate altrove
H46;Neurite ottica
H47;Altri disturbi del nervo ottico [Il nervo cranico] e delle vie ottiche
H48;Disturbi del nervo ottico [Il nervo cranico] e delle vie ottiche in malattie classificate altrove
H49;Strabismo paralitico
H50;Altro strabismo
H51;Altri disturbi dei movimenti binoculari
H52;Vizi di rifrazione e disturbi di accomodazione
H53;Disturbi visivi
H54;Cecità e ipovisione
H55;Nistagmo ed altri movimenti irregolari degli occhi
H57;Altri disturbi dell’occhio e degli annessi oculari
H58;Altri disturbi dell’occhio e degli annessi oculari in malattie classificate altrove
H59;Disturbi iatrogeni dell’occhio e degli annessi non classificati altrove
H60;Otite esterna
H61;Altri disturbi dell’orecchio esterno
H62;Disturbi dell’orecchio esterno in malattie classificate altrove
H65;Otite media non supportativa
H66;Otite media supportativa e non specificata
H67;Otite media in malattie classificate altrove
H68;Inflammazione eostruzione di tuba di Eustachio
H69;Altri disturbi di tuba di Eustachio
H70;Mastoidite e condizioni morbose correlate
H71;Colesteatoma dell’orecchio medio
H72;Perforazione della membrana timpanica
H73;Altri disturbi della membrana timpanica
H74;Altri disturbi dell’orecchio medio e della mastoide
H75;Altri disturbi dell’orecchio medio e della mastoide in malattie classificate altrove
H80;Otosclerosi
H81;Disturbi della funzione vestibolare
H82;Sindromi vertiginose in malattie classificate altrove
H83;Altre malattie dell’orecchio interno
H90;Sordità da difetto di trasmissione e/o neurosensoriale
H91;Altra perdita uditiva
H92;Otalgia e versamenti dell’orecchio
H93;Altri disturbi dell’orecchio non classificati altrove
H94;Altri disturbi dell’orecchio in malattie classificate altrove
H95;Disturbi iatrogeni dell’orecchio e dell’apofisi mastoide non classificati altrove
I00;Reumatismo articolare acuto senza menzione di interessamento cardiaco
I01;Reumatismo articolare acuto con interessamento cardiaco
I02;Corea reumatica
I05;Malattie reumatiche della valvola mitralica
I06;Malattie reumatiche della valvola aortica
I07;Malattie reumatiche della valvola tricuspide
I08;Malattie valvolari multiple
I09;Altre cardiopatie reumatiche
I10;Ipertensione essenziale (primitiva)
I11;Cardiopatia ipertensiva
I12;Malattia renale ipertensiva
I13;Malattia ipertensiva cardiaca e renale
I15;Ipertensione secondaria
I20;Angina pectoris
I21;Infarto miocardico acuto
I22;Infarto miocardico recidivante
I23;Alcune complicanze in atto susseguenti ad infarto miocardico acuto
I24;Altre cardiopatie ischemiche acute
I25;Cardiopatia ischemica cronica
I26;Embolia polmonare
I27;Altre forme di cuore polmonare
I28;Altre malattie di vasi polmonari
I30;Pericardite acuta
I31;Altre malattie del pericardio
I32;Pericardite in malattie classificate altrove
I33;Endocardite acuta e subacuta
I34;Disturbi non reumatici della valvola mitralica
I35;Disturbi non reumatici della valvola aortica
I36;Disturbi non reumatici della (valvola) tricuspide
I37;Disturbi della valvola polmonare
I38;Endocardite valvola non specificata
I39;Endocardite e valvulopatie cardiache in malattie classificate altrove
I40;Miocardite acuta
I41;Miocardite in malattie classificate altrove
I42;Cardiomiopatia
I43;Cardiomiopatia in malattie classificate altrove
I44;Blocco atrioventricolare e blocco di branca sinistra
I45;Altri disturbi di conduzione
I46;Arresto cardiaco
I47;Tachicardia parossistica
I48;Fibrillazione e flutter atriali
I49;Altre aritmie cardiache
I50;Insufficienza cardiaca
I51;Complicanze e descrizioni mal definite di cardiopatia
I52;Altri disturbi cardiaci in malattie classificate altrove
I60;Emorragia subaracnoidea
I61;Emorragia intracerebrale
I62;Altre emorragie intracraniche non traumatiche
I63;Infarto cerebrale
I64;Accidente cerebrovascolare non specificato se da emorragia o da infarto
I65;Occlusione e stenosi di arteria precerebrale senza esiti in infarto cerebrale
I66;Occlusione e stenosi di arteria cerebrale senza esiti in infarto cerebrale
I67;Altre malattie cerebrovascolari
I68;Disturbi cerebrovascolari in malattie classificate altrove
I69;Sequele di malattia cerebrovascolare
